user_id,churn,age,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,rewards_earned,reward_rate,is_referred
1,False,21.0,577.0,48,4,52,45,0,245,0,0,22,True,True,True,False,True,2,Semi-Monthly,False,False,False,False,Pisces,56.0,1.87,False
8,True,31.0,519.0,0,0,0,0,0,49,0,0,2,True,False,False,False,True,0,Bi-Weekly,False,False,False,False,Virgo,18.0,0.6,True
9,False,26.0,542.5155998157956,0,0,30,0,0,56,0,0,5,True,True,True,False,True,2,Weekly,False,False,False,False,Sagittarius,23.0,0.77,False
10,False,33.0,558.0,0,0,76,0,0,166,0,0,8,True,False,False,False,True,0,Bi-Weekly,False,False,False,False,Leo,45.0,1.5,True
11,False,26.0,559.0,0,0,206,0,0,304,0,0,27,True,True,True,False,True,0,Bi-Weekly,False,False,False,False,Virgo,60.0,2.0,True
13,False,33.0,554.0,2,0,114,2,0,221,0,0,18,True,True,True,False,True,0,Semi-Monthly,False,False,False,False,Capricorn,61.0,2.03,True
14,False,54.0,501.0,0,0,81,0,0,131,0,0,6,True,False,False,False,True,2,na,False,False,False,False,Gemini,53.0,1.77,False
18,True,27.0,495.0,0,0,169,0,0,184,0,0,10,True,True,True,False,True,2,na,False,False,False,False,Leo,53.0,1.77,True
19,True,28.0,500.0,0,0,11,0,0,65,0,0,0,True,False,False,False,True,0,na,False,False,False,False,Cancer,37.0,1.23,True
25,True,27.0,542.5155998157956,0,0,1,0,0,24,0,0,0,True,True,True,False,True,0,Weekly,False,False,False,False,Gemini,12.0,0.4,True
28,True,42.0,533.0,0,0,15,0,0,32,0,0,0,True,False,False,True,False,0,Bi-Weekly,False,False,False,False,Cancer,13.0,0.43,False
31,False,25.0,532.0,1,1,58,1,0,179,0,0,18,True,True,True,False,True,0,Bi-Weekly,False,False,False,False,Scorpio,47.0,1.5699999999999998,False
34,True,54.0,557.0,60,13,62,43,0,148,0,0,51,True,True,True,True,False,0,na,False,False,False,False,Scorpio,40.0,1.33,True
36,True,38.0,590.0,2,0,39,2,0,64,0,0,6,True,True,True,False,True,0,na,False,False,False,False,Sagittarius,26.0,0.87,True
37,True,31.0,542.5155998157956,0,0,0,0,0,115,0,0,5,True,True,True,True,False,0,Bi-Weekly,False,False,False,False,Scorpio,35.0,1.17,False
38,False,24.0,494.0,0,0,27,0,0,76,0,0,1,True,False,False,False,True,0,Weekly,False,False,False,False,Virgo,25.0,0.83,False
41,True,44.0,550.0,0,0,0,0,0,64,0,0,12,True,True,True,False,True,0,na,False,False,False,False,Libra,25.0,1.47,False
44,False,30.0,562.0,17,0,133,17,0,215,0,0,9,True,True,True,False,True,0,Bi-Weekly,False,False,False,False,Cancer,49.0,1.63,True
47,True,41.0,609.0,0,0,0,0,0,100,0,0,8,True,False,False,False,True,2,Monthly,False,False,False,True,Cancer,26.0,0.87,True
49,True,36.0,501.0,0,0,0,0,0,202,0,0,35,True,True,True,True,False,0,Semi-Monthly,False,False,False,False,Sagittarius,56.0,1.87,False
